@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.09.03 Linux 64"
@ DATE             %08s "27/08/24"
@ TIME             %08s "02.26.29"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "M2"                "MARKER"                    28.1641037                  0                  0       -18.57547355                  0       -2.011272283       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_14"          "DRIFT"                    30.17537598        2.011272283                  0       -18.57547355                  0       -4.022544566       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "R3_BEND$START"     "MARKER"                   30.17537598                  0                  0       -18.57547355                  0       -4.022544566       -3.141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM1"               "SBEND"                    31.23435451        1.058978524       0.2617993878       -18.43764351                  0       -5.069467603       -3.403392041                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_15"          "DRIFT"                    31.83435451                0.6                  0       -18.28235209                  0       -5.649023099       -3.403392041                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM2"               "SBEND"                    32.89333303        1.058978524       0.2617993878       -17.87825488                  0       -6.624600062       -3.665191429                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_16"          "DRIFT"                    33.49333303                0.6                  0       -17.57825488                  0       -7.144215304       -3.665191429                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM3"               "SBEND"                    34.55231155        1.058978524       0.2617993878       -16.93542905                  0       -7.981962234       -3.926990817                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_17"          "DRIFT"                    35.15231155                0.6                  0       -16.51116498                  0       -8.406226303       -3.926990817                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM4"               "SBEND"                    36.21129008        1.058978524       0.2617993878       -15.67341805                  0       -9.049052131       -4.188790205                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "R3_BEND$END"       "MARKER"                   36.21129008                  0                  0       -15.67341805                  0       -9.049052131       -4.188790205                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_18"          "DRIFT"                    38.22256236        2.011272283                  0       -13.93160516                  0       -10.05468827       -4.188790205                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3"                "MARKER"                   38.22256236                  0                  0       -13.93160516                  0       -10.05468827       -4.188790205                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_19"          "DRIFT"                    40.23383464        2.011272283                  0       -12.18979227                  0       -11.06032441       -4.188790205                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "R3_BEND$START"     "MARKER"                   40.23383464                  0                  0       -12.18979227                  0       -11.06032441       -4.188790205                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM1"               "SBEND"                    41.29281317        1.058978524       0.2617993878       -11.21421531                  0       -11.46442162       -4.450589593                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_20"          "DRIFT"                    41.89281317                0.6                  0       -10.63465981                  0       -11.61971305       -4.450589593                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM2"               "SBEND"                    42.95179169        1.058978524       0.2617993878       -9.587736774                  0       -11.75754308        -4.71238898                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_21"          "DRIFT"                    43.55179169                0.6                  0       -8.987736774                  0       -11.75754308        -4.71238898                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BM3"               "SBEND"                    44.61077021        1.058978524       0.2617993878       -7.940813736                  0       -11.61971305       -4.974188368                  0                  0                  0                  0          0          0                  0                  0 ""                 
